original,negated
Miss America is good for women,Miss America is bad for women
Online classes are not the best way to teach,Online classes are the best way to teach
Unpaid internship exploit college students,Unpaid internship do not exploit college students
Home-schoolers should not play for high school teams,Home-schoolers should play for high school teams
"Restrict use of the word ""natural"" on food labels","Do not restrict use of the word ""natural"" on food labels"
New York's bike lanes are not working,New York's bike lanes are working
Home-schoolers should play for high school teams,Home-schoolers should not play for high school teams
Veganism is not good for everyone,Veganism is good for everyone
High school should last six years,High school should not last six years
Supporting Israel hurts,Supporting Israel does not hurt
Colorado didn't go too far with pot,Colorado went too far with pot
Salt should have a place at the table,Salt should not have a place at the table
Reality shows are worse than other TV,Reality shows are not worse than other TV
Drop sports program in undergraduate schools,Do not drop sports program in undergraduate schools
Police officers should be required to wear cameras,Police officers should not be required to wear cameras
Privatization is a bad deal for cities and states,Privatization is a not bad deal for cities and states
Veganism is good for everyone,Veganism is not good for everyone
Big banks are out of control,Big banks are not out of control
Keep selling arms to Taiwan,Do not keep selling arms to Taiwan
Home schoolers do not deserve a tax break,Home schoolers deserve a tax break
We need libraries,We do not need libraries
US should not attack Syria,US should attack Syria
Government should grade colleges,Government should not grade colleges
Colleges need humanities programs,Colleges do not need humanities programs
New York's bike lanes are working,New York's bike lanes are not working
Public preschool is not a smart investment,Public preschool is a smart investment
We don't need to hear from candidate's spouse,We need to hear from candidate's spouse
Electric cars will succeed,Electric cars will not succeed
Affirmative actions should be based on income,Affirmative actions should not be based on income
Casinos are too much of a gamble,Casinos are not too much of a gamble
The U.S. should work with Assad to fight ISIS,The U.S. should not work with Assad to fight ISIS
All immigrants should get ID cards,All immigrants should not get ID cards
Greece will destroy the Euro Zone,Greece will not destroy the Euro Zone
Dual citizenship should be allowed,Dual citizenship should not be allowed
Students should be taught cursive,Students should not be taught cursive
The U.S. should not work with Assad to fight ISIS,The U.S. should work with Assad to fight ISIS
We don't need FEMA,We need FEMA
Obamacare is not working,Obamacare is working
To tip,Not to tip
People are getting dumber,People are not getting dumber
We need more advice about eating well,We do not need more advice about eating well
Students should live off campus,Students should not live off campus
Court stenographers are not necessary,Court stenographers are necessary
Strictly enforcing minor violations deter more serious crime,Strictly enforcing minor violations do not deter more serious crime
US should attack Syria,US should not attack Syria
We should disband NATO,We should not disband NATO
School librarians are not expendable,School librarians are not expendable
Olympics are more trouble,Olympics are not more trouble
Businesses should not be allowed to have new employees sign noncompete deals,Businesses should be allowed to have new employees sign noncompete deals
3-D printing will change the world,3-D printing will not change the world
Vaccination should be mandatory for all children,Vaccination should not be mandatory for all children
States need special schools for the deaf,States do not need special schools for the deaf
We don't need the C.I.A.,We need the C.I.A.
Doping should not be allowed,Doping should be allowed
Parents should help their children with homework,Parents should not help their children with homework
School day should not be longer,School day should be longer
Companies shouldn't be allowed to patent genes,Companies should be allowed to patent genes
Extreme parenting is counterproductive,Extreme parenting is not counterproductive
Online classes are the best way to teach,Online classes are not the best way to teach
Voting should not be mandatory,Voting should be mandatory
Vaccination should not be mandatory for all children,Vaccination should be mandatory for all children
Internet gambling should be legalized,Internet gambling should not be legalized
Hamas-Fatah unity can't lead to mideast peace,Hamas-Fatah unity can lead to mideast peace
Parents should make vacation with kids,Parents should not make vacation with kids
Do not stop taxing capital gains,Stop taxing capital gains
Queen Elizabeth II should not step down,Queen Elizabeth II should step down
Tenure protects bad teachers,Tenure does not protect bad teachers
Parents should not control what kids learn at school,Parents should control what kids learn at school
Wealthy colleges deserve tax breaks,Wealthy colleges do not deserve tax breaks
Prostitution is safer when it's legal,Prostitution is not safer when it's legal
Government should not grade colleges,Government should grade colleges
Obamacare is working,Obamacare is not working
We need professional critics,We do not need professional critics
Prozac was a true step forward in medicine,Prozac was not a true step forward in medicine
California needs high-speed rail,California does not need high-speed rail
Tenure provides stability,Tenure does not provides stability
3-D printing will not change the world,3-D printing not change the world
Women should not delay motherhood,Women should delay motherhood
Organic food is not worth the expense,Organic food is worth the expense
Court stenographers are necessary,Court stenographers are not necessary
Public preschool is a smart investment,Public preschool is not a smart investment
Research papers are a useful exercise for college students,Research papers are not a useful exercise for college students
'Starchitects' are not ruining cities,'Starchitects' are ruining cities
Not to tip,To tip
We should not manipulate our dreams,We should manipulate our dreams
Drone attacts make more good,Drone attacts do not make more good
Legislation should not protect obese,Legislation should protect obese
Disclosure makes consumers safer,Disclosure does not make consumers safer
Fees should be more regulated,Fees should not be more regulated
Colleges do not need humanities programs,Colleges need humanities programs
Rock Hall of Fame matters,Rock Hall of Fame does not matter
School librarians are expendable,School librarians are not expendable
College free for everyone,College not free for everyone
All immigrants should not get ID cards,All immigrants should get ID cards
Internet gambling should not be legalized,Internet gambling should be legalized
Charter schools are cherry-picking students,Charter schools are not cherry-picking students
Nations should recognize a Palestinian state,Nations should not recognize a Palestinian state
Unpaid internship doesn't exploit college students,Unpaid internship exploits college students
TFA has not raised the status of teachers,TFA has raised the status of teachers
Extreme parenting leads to greater success,Extreme parenting does not lead to greater success
TFA has raised the status of public teachers,TFA has not raised the status of public teachers
The U.S. should lift sanctions with Cuba,The U.S. should not lift sanctions with Cuba
Drone attacks make more harm,Drone attacks do not make more harm
Royal Couple could be a modern family,Royal Couple could not be a modern family
Amazon will kill off publishers,Amazon will not kill off publishers
Farms could survive without illegal labor,Farms could not survive without illegal labor
Teachers need to have experience,Teachers do not need to have experience
California doesn't need high-speed rail,California needs high-speed rail
Doping should be allowed,Doping should not be allowed
Speech cannot be limited for public workers,Speech can be limited for public workers
Wal-Mart can make us healthier,Wal-Mart cannot make us healthier
We need to hear from candidate's spouse,We do not need to hear from candidate's spouse
We need FEMA,We do not need FEMA
"No, the laws should not be toughened","Yes, the laws should be toughened"
Tracking kids invades privacy,Tracking kids does not invade privacy
We need the C.I.A.,We do not need the C.I.A.
